Company ID number,DMX_ISSUER_NAME,DMX_ISSUER_ID,Country of Classification
1,"AECC AERO-ENGINE CONTROL CO.,LTD.",IID000000002131863,CHINA
2,"AECC AVIATION POWER CO,LTD",IID000000002161862,CHINA
3,"AVIC Aircraft Co., Ltd.",IID000000002189908,CHINA
4,"AVIC Electromechanical Systems Co., Ltd.",IID000000002131928,CHINA
5,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,IID000000002151762,CHINA
6,AviChina Industry & Technology Company Limited,IID000000002140985,CHINA
7,AVICOPTER PLC,IID000000002168811,CHINA
8,"China Aerospace Times Electronics Co., Ltd.",IID000000002151645,CHINA
9,"CHINA AVIONICS SYSTEMS CO., LTD.",IID000000002132909,CHINA
10,"China Spacesat Co., Ltd.",IID000000002161879,CHINA
11,Kerry Logistics Network Ltd,IID000000002681731,HONG KONG
12,"S.F. Holding Co., Ltd.",IID000000002575378,CHINA
13,SINOTRANS LIMITED,IID000000002183919,CHINA
14,"Transfar Zhilian Co., Ltd.",IID000000002190440,CHINA
15,"YUNDA Holding CO., Ltd.",IID000000002131965,CHINA
16,ZTO Express (Cayman) Inc,IID000000002776067,CHINA
17,Air China Limited,IID000000002148908,CHINA
18,Cathay Pacific Airways Limited,IID000000002133082,HONG KONG
19,China Eastern Airlines Corporation Limited,IID000000002124846,CHINA
20,China Southern Airlines Company Limited,IID000000002161878,CHINA
21,"JUNEYAO AIRLINES Co., Ltd.",IID000000002732910,CHINA
22,"Shandong Airlines Co., Ltd.",IID000000002183290,CHINA
23,"Spring Airlines Co., Ltd.",IID000000002718252,CHINA
24,"ANXIN TRUST CO.,LTD",IID000000002157551,CHINA
25,"CHINA CINDA ASSET MANAGEMENT CO., LTD.",IID000000002261779,CHINA
26,CHINA DING YI FENG HOLDINGS LIMITED,IID000000002130192,CHINA
27,"China Huarong Asset Management Co., Ltd.",IID000000002394761,CHINA
28,NOAH HOLDINGS LIMITED,IID000000002603938,CHINA
29,OP Financial Ltd,IID000000002178208,HONG KONG
30,Value Partners Group Ltd,IID000000002188547,HONG KONG
31,"Anhui Zhongding Sealing Parts Co., Ltd.",IID000000002157478,CHINA
32,Changzhou Xingyu Automotive Lighting Systems Co Ltd,IID000000002609893,CHINA
33,CHAOWEI POWER HOLDINGS LIMITED,IID000000002594698,CHINA
34,CHINA FIRST CAPITAL GROUP LIMITED,IID000000002632021,CHINA
35,"China Shipbuilding Industry Group Power Co., Ltd.",IID000000002133670,CHINA
36,"FUYAO GLASS INDUSTRY GROUP CO.,LTD.",IID000000002134669,CHINA
37,HUAYU Automotive Systems Company Limited,IID000000002143171,CHINA
38,Launch Tech Company Limited,IID000000002141584,CHINA
39,MINTH GROUP LIMITED,IID000000002175779,HONG KONG
40,NEXTEER AUTOMOTIVE GROUP LIMITED,IID000000002670181,CHINA
41,NINGBO JOYSON ELECTRONIC CORP.,IID000000002143157,CHINA
42,"SHANDONG LINGLONG TYRE CO., LTD.",IID000000002767946,CHINA
43,TIANNENG POWER INTERNATIONAL LIMITED,IID000000002186861,CHINA
44,"WANXIANG QIANCHAO CO., LTD.",IID000000002140096,CHINA
45,"Weifu High-technology Group Co., Ltd.",IID000000002189393,CHINA
46,XINGDA INTERNATIONAL HOLDINGS LIMITED,IID000000002140937,CHINA
47,XINYI GLASS HOLDINGS LIMITED,IID000000002140795,HONG KONG
48,"Zhejiang Wanfeng Auto Wheel Co., Ltd.",IID000000002140098,CHINA
49,BAIC MOTOR Corporation Limited,IID000000002638949,CHINA
50,BRILLIANCE CHINA AUTOMOTIVE HOLDINGS LIMITED,IID000000002160148,CHINA
51,BYD COMPANY LIMITED,IID000000002158849,CHINA
52,"Chongqing Changan Automobile Co., Ltd.",IID000000002142017,CHINA
53,DONGFENG MOTOR GROUP COMPANY LIMITED,IID000000002140649,CHINA
54,GEELY AUTOMOBILE HOLDINGS LIMITED,IID000000002140275,CHINA
55,Great Wall Motor Company Limited,IID000000002140939,CHINA
56,"Guangzhou Automobile Group Co., Ltd",IID000000002264375,CHINA
57,NIO INC.,IID000000002916032,CHINA
58,Qingling Motors Co Ltd,IID000000002801041,CHINA
59,SAIC Motor Corporation Limited,IID000000002154635,CHINA
60,Yadea Group Holdings Ltd,IID000000002764445,CHINA
61,AGRICULTURAL BANK OF CHINA LIMITED,IID000000002676689,CHINA
62,"Bank of Beijing Co., Ltd.",IID000000002159116,CHINA
63,"BANK OF CHENGDU CO., LTD.",IID000000002263151,CHINA
64,BANK OF CHINA LIMITED,IID000000002141105,CHINA
65,"Bank of Communications Co., Ltd.",IID000000002133612,CHINA
66,"Bank of Guiyang Co., Ltd.",IID000000002261199,CHINA
67,"BANK OF HANGZHOU CO., LTD.",IID000000002261753,CHINA
68,"Bank of Jiangsu Co., Ltd.",IID000000002271942,CHINA
69,"BANK OF NANJING CO., LTD.",IID000000002159087,CHINA
70,"Bank of Ningbo Co., Ltd",IID000000002159133,CHINA
71,"Bank of Shanghai Co., Ltd.",IID000000002262238,CHINA
72,BOC HONG KONG (HOLDINGS) LIMITED,IID000000002140989,HONG KONG
